source,source_type,relation,target,target_type
29808808,Paper,MENTIONS,liquiritin,Ingredient
29808808,Paper,MENTIONS,glycyrrhizic acid,Ingredient
29808808,Paper,MENTIONS,hpa axis,Pathway
29808808,Paper,MENTIONS,anxiety,Symptom
37562092,Paper,MENTIONS,depression,Disease
37562092,Paper,MENTIONS,anxiety,Disease
37562092,Paper,MENTIONS,meta-analysis,Evidence
37562092,Paper,MENTIONS,food intake,Experiment_indicator
37562092,Paper,MENTIONS,xiaoyao san,Formula
37562092,Paper,MENTIONS,anxiety,Symptom
41724290,Paper,MENTIONS,depression,Disease
41724290,Paper,MENTIONS,anxiety,Disease
41724290,Paper,MENTIONS,network pharmacology,Evidence
41724290,Paper,MENTIONS,molecular docking,Evidence
41724290,Paper,MENTIONS,chaihu shugan san,Formula
41724290,Paper,MENTIONS,glycyrrhizic acid,Ingredient
41724290,Paper,MENTIONS,naringenin,Ingredient
41724290,Paper,MENTIONS,mouse,Species
41724290,Paper,MENTIONS,mice,Species
41724290,Paper,MENTIONS,anxiety,Symptom
21933701,Paper,MENTIONS,depression,Disease
21933701,Paper,MENTIONS,meta-analysis,Evidence
33629558,Paper,MENTIONS,depression,Disease
33629558,Paper,MENTIONS,open field test,Experiment_indicator
33629558,Paper,MENTIONS,sucrose preference,Experiment_indicator
33629558,Paper,MENTIONS,ganmai dazao tang,Formula
33629558,Paper,MENTIONS,rats,Species
38941409,Paper,MENTIONS,depression,Disease
38941409,Paper,MENTIONS,systematic review,Evidence
38941409,Paper,MENTIONS,meta-analysis,Evidence
38941409,Paper,MENTIONS,mendelian randomization,Evidence
18343064,Paper,MENTIONS,depression,Disease
18343064,Paper,MENTIONS,tail suspension test,Experiment_indicator
18343064,Paper,MENTIONS,locomotor activity,Experiment_indicator
18343064,Paper,MENTIONS,mice,Species
36844911,Paper,MENTIONS,Angelicae sinensis radix,Herb
36844911,Paper,MENTIONS,depression,Disease
36844911,Paper,MENTIONS,xiaoyao san,Formula
36844911,Paper,MENTIONS,paeoniflorin,Ingredient
36844911,Paper,MENTIONS,hpa axis,Pathway
36844911,Paper,MENTIONS,mice,Species
36844911,Paper,MENTIONS,bdnf,Target
41485625,Paper,MENTIONS,bupleuri radix,Herb
41485625,Paper,MENTIONS,depression,Disease
41485625,Paper,MENTIONS,transcriptomics,Evidence
41485625,Paper,MENTIONS,network pharmacology,Evidence
41485625,Paper,MENTIONS,chaihu shugan san,Formula
41485625,Paper,MENTIONS,albiflorin,Ingredient
