Compound Id,Pref Name,CAS,Pubchem ID,Chembl ID,Formula,Smiles,Herb ID
C0476,Ursolic Acid,CAS:77-52-1,CID:64945,CHEMBL169,C30H48O3,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,H0715
C0291,Paraben,None,CID:3702506,CHEMBL441343,C7H6O3,Oc1ccc(cc1)C(=O)O,H0715
C1178,Beta-Sitosterol,None,CID:222284,CHEMBL221542,C29H50O,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,H0715
C1030,Aucubin,CAS:479-98-1,CID:91458,CHEMBL514882,C15H22O9,C1=COC(C2C1C(C=C2CO)O)OC3C(C(C(C(O3)CO)O)O)O,H0715
C0478,Vanillic Acid,CAS:121-34-6,CID:8468,CHEMBL120568,C8H8O4,COC1=C(C=CC(=C1)C(=O)O)O,H0715
C0285,Palmitic Acid,CAS:57-10-3,CID:985,CHEMBL82293,C16H32O2,CCCCCCCCCCCCCCCC(=O)O,H0715
C0416,Stearic Acid,CAS:57-11-4,CID:5281,CHEMBL46403,C18H36O2,CCCCCCCCCCCCCCCCCC(=O)O,H0715
C1219,Catalpol,CAS:2415-24-9,CID:91520,CHEMBL513223,C15H22O10,C1=COC(C2C1C(C3C2(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O,H0715
C0190,Linolenic Acid,CAS:463-40-1,CID:5280934,CHEMBL8739,C18H30O2,CCC=CCC=CCC=CCCCCCCCC(=O)O,H0715
C0084,Forsythiaside,CAS:79916-77-1,CID:5281773,CHEMBL504363,C29H36O15,O=C(O[C@@H]1[C@@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)O[C@H]([C@@H]([C@H]1O)O)OCCc1ccc(c(c1)O)O)/C=C/c1ccc(c(c1)O)O,H0715
C0749,Stigmasterol,CAS:83-48-7,CID:5281330,CHEMBL400247,C29H48O,CC[C@H](C(C)C)/C=C/[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,H0715
