symptom ,Herb_id,P_value,FDR(BH),FDR(Bonferroni)
Localized; Swelling,SMHB00204,None,None,None
 Physical Suffering,SMHB00204,None,None,None
Abscess Gum,SMHB00204,None,None,None
Laryngeal Pain,SMHB00204,0.021203,0.04873,1
Catarrh,SMHB00204,0.01442,0.041867,1
Eye Pain,SMHB00204,0.002572,0.013112,1
 Zoophaginae,SMHB00204,0.021203,0.04873,1
Other Conjunctivitis Nos,SMHB00204,0.021203,0.04873,1
Toothache,SMHB00204,0.006258,0.026133,1
Renal Agenesis,SMHB00204,None,None,None
Cyst,SMHB00204,None,None,None
Laryngeal Edema,SMHB00204,0.021203,0.04873,1
Gingivitis,SMHB00204,None,None,None
Smarting Of Skin,SMHB00204,0.021203,0.04873,1
Hematoma,SMHB00204,0.041965,0.070815,1
Hyperalgia,SMHB00204,None,None,None
Skin Pain,SMHB00204,0.021203,0.04873,1
Virus,SMHB00204,0.021203,0.04873,1
Animal Virus,SMHB00204,0.021203,0.04873,1
Gingival Swelling,SMHB00204,None,None,None
Pain,SMHB00204,None,None,None
Burning Pain,SMHB00204,None,None,None
 Gingival Edema,SMHB00204,None,None,None
 Splitting Pain,SMHB00204,None,None,None
Skin Swelling,SMHB00204,0.041965,0.070815,1
 Migratory Pain,SMHB00204,None,None,None
Thermal Energy,SMHB00204,None,None,None
Swelling,SMHB00204,None,None,None
Coryza,SMHB00204,0.017783,0.045928,1
Ache,SMHB00204,None,None,None
Sore Eye,SMHB00204,0.041965,0.070815,1
Pharynx Disease,SMHB00204,0.041965,0.070815,1
Tonsillitis,SMHB00204,0.041965,0.070815,1
Throat Tightness,SMHB00204,6.00E-06,8.80E-05,0.147932
Tachypnea,SMHB00204,None,None,None
Pain Radiating,SMHB00204,None,None,None
Crushing Pain,SMHB00204,None,None,None
Common Cold,SMHB00204,0.017783,0.045928,1
Dental Abscess,SMHB00204,None,None,None
Pharyngolaryngeal Pain,SMHB00204,0.000296,0.0023,1
Chills And Fever,SMHB00204,0.002768,0.013936,1
Chills And Fever,SMHB00204,0.002768,0.013936,1
Edema Pharynx,SMHB00204,None,None,None
Oral Ulcer,SMHB00204,None,None,None
Hot Temperature,SMHB00204,None,None,None
Sutton'S Disease,SMHB00204,0.021203,0.04873,1
Fever,SMHB00204,0.000269,0.002139,1
Epizootic Lymphangitis,SMHB00204,0.021203,0.04873,1
Swelling Round Eyes: [periorbital Edema],SMHB00204,0.021203,0.04873,1
Unspecified Acute Tympanitis,SMHB00204,0.021203,0.04873,1
Stroke,SMHB00608,0.004064,0.018915,1
Numbness,SMHB00608,0.000201,0.00169,1
Trichophytosis,SMHB00608,0.037192,0.065886,1
Tinea,SMHB00608,0.003072,0.015061,1
Extremity Contracture,SMHB00608,0.024945,0.053056,1
Quadriplegic Spinal Paralysis,SMHB00608,0.049289,0.078752,1
 Cerebromedullospinal Disconnection,SMHB00608,0.049289,0.078752,1
Flaccid Tetraplegia,SMHB00608,0.049289,0.078752,1
Tinea Corporis,SMHB00608,0.037192,0.065886,1
Seizures,SMHB00608,1.00E-06,1.40E-05,0.016936
Infantile Hemiplegia,SMHB00608,0.024945,0.053056,1
Generalized Spasm,SMHB00608,0.049289,0.078752,1
 Cva Nos Acute,SMHB00608,0.003072,0.015061,1
Facial Paralysis,SMHB00608,0.037192,0.065886,1
Cramp In Limb,SMHB00608,0.049289,0.078752,1
Hemiplegia,SMHB00608,0.024945,0.053056,1
Spastic Hemiplegia,SMHB00608,0.024945,0.053056,1
Catalepsy,SMHB00608,0.037192,0.065886,1
" Hemiplegia, Post Ictal",SMHB00608,0.024945,0.053056,1
Flaccid Hemiplegia,SMHB00608,0.024945,0.053056,1
Transient Hemiplegia,SMHB00608,0.024945,0.053056,1
Ciliary Spasm,SMHB00608,0.037192,0.065886,1
Quadriplegia,SMHB00608,0.049289,0.078752,1
Habit Disorder,SMHB00608,7.00E-06,0.000103,0.174871
Epidermophytosis,SMHB00608,0.037192,0.065886,1
Vocal Tic,SMHB00608,7.00E-06,0.000103,0.174871
Motor Tics,SMHB00608,7.00E-06,0.000103,0.174871
General Discomfort,SMHB00608,0.024945,0.053056,1
Hemiparesis,SMHB00608,0.000898,0.005558,1
Difficulty Walking,SMHB00608,0.037192,0.065886,1
Alternate Hemiplegia,SMHB00608,0.024945,0.053056,1
Leprosy,SMHB00608,0.024945,0.053056,1
Scabies,SMHB00608,0.049289,0.078752,1
Tetanus,SMHB00608,0.012549,0.039351,1
 Physical Suffering,SMHB00210,None,None,None
Cough Productive,SMHB00210,None,None,None
"Sputums, Induced",SMHB00210,None,None,None
Hoarseness,SMHB00210,None,None,None
Dysuria,SMHB00210,3.00E-06,5.10E-05,0.079099
Hyperalgia,SMHB00210,None,None,None
Diarrhea,SMHB00210,None,None,None
Pain,SMHB00210,None,None,None
Micturition Disorder,SMHB00210,None,None,None
Cough,SMHB00210,None,None,None
Burning Pain,SMHB00210,None,None,None
 Splitting Pain,SMHB00210,None,None,None
Skin Breakdown,SMHB00210,0.013414,0.040487,1
Sputum,SMHB00210,None,None,None
 Migratory Pain,SMHB00210,None,None,None
Eczema,SMHB00210,None,None,None
Ache,SMHB00210,None,None,None
"Hoarseness, Neurogenic",SMHB00210,None,None,None
Prostatism,SMHB00210,0.013414,0.040487,1
 Urinary Tract Pain,SMHB00210,None,None,None
Throat Tightness,SMHB00210,None,None,None
Pain Radiating,SMHB00210,None,None,None
Crushing Pain,SMHB00210,None,None,None
Arthropathy,SMHB00210,None,None,None
Cough Persistent,SMHB00210,0.002527,0.01295,1
Sputum Purulent,SMHB00210,None,None,None
Pemphigus,SMHB00210,0.013414,0.040487,1
Right Flank Pain,SMHB00599,0.001525,0.008587,1
Pulse Weakness,SMHB00599,0.005808,0.024695,1
 Physical Suffering,SMHB00599,0.000156,0.001362,1
Gastric Disorder,SMHB00599,0.034325,0.062763,1
Vomiting Neonatal,SMHB00599,0.017309,0.045046,1
Hyperphagia,SMHB00599,0.017309,0.045046,1
Flank Pain,SMHB00599,0.001525,0.008587,1
Developmental Delay,SMHB00599,0.017309,0.045046,1
Malnutrition,SMHB00599,0.004194,0.01946,1
Urinary Tract Stone,SMHB00599,5.00E-06,7.30E-05,0.119215
Emesis,SMHB00599,4.90E-05,0.000526,1
Urolithiasis,SMHB00599,0.017309,0.045046,1
Pain,SMHB00599,0.000306,0.002368,1
Burning Pain,SMHB00599,0.000156,0.001362,1
 Splitting Pain,SMHB00599,0.000156,0.001362,1
Bed-Wetting,SMHB00599,0.017309,0.045046,1
 Migratory Pain,SMHB00599,0.000156,0.001362,1
Ache,SMHB00599,0.000538,0.003714,1
 Urinary Tract Pain,SMHB00599,0.002827,0.014204,1
Aphagia,SMHB00599,0.017309,0.045046,1
Left Flank Pain,SMHB00599,0.001525,0.008587,1
Pain Radiating,SMHB00599,0.000156,0.001362,1
Crushing Pain,SMHB00599,0.000156,0.001362,1
" Disease Of Vocal Cords, Nos",SMHB00599,1.90E-05,0.000241,0.471127
Abdomen Distention,SMHB00202,None,None,None
Cough Productive,SMHB00202,None,None,None
"Sputums, Induced",SMHB00202,None,None,None
Dyspnea,SMHB00202,0.027508,0.055251,1
Semiconsciousness,SMHB00202,None,None,None
Hyperalgia,SMHB00202,0.013847,0.040951,1
Alteration In Level Of Consciousness,SMHB00202,None,None,None
 Emotional Depression,SMHB00202,0.040985,0.069693,1
Cough,SMHB00202,None,None,None
Salivation,SMHB00202,None,None,None
Gasping,SMHB00202,0.040985,0.069693,1
Depressed Level Of Consciousness,SMHB00202,None,None,None
Bronchial Asthma,SMHB00202,None,None,None
Consciousness Disorder,SMHB00202,None,None,None
Sputum,SMHB00202,None,None,None
Chest Symptom Discomfort,SMHB00202,None,None,None
Stomach Cramps,SMHB00202,None,None,None
 Cough Increased,SMHB00202,0.013847,0.040951,1
 Stomach Discomfort,SMHB00202,None,None,None
Chest Symptom Heaviness,SMHB00202,0.002344,0.012194,1
Chest Symptom Heaviness,SMHB00202,0.002344,0.012194,1
Asthma Attack,SMHB00202,0.013847,0.040951,1
Cough Persistent,SMHB00202,0.002692,0.013583,1
Sputum Purulent,SMHB00202,None,None,None
Respiratory Distress,SMHB00202,0.027508,0.055251,1
Cough Productive,SMHB00211,None,None,None
"Sputums, Induced",SMHB00211,None,None,None
Vertebrogenic Pain Syndrome,SMHB00211,None,None,None
Anasarca,SMHB00211,None,None,None
Feces Incontinence,SMHB00211,0.027508,0.055251,1
Dyspnea,SMHB00211,0.027508,0.055251,1
Edema,SMHB00211,None,None,None
Hyperalgia,SMHB00211,0.013847,0.040951,1
Functional Encopresis,SMHB00211,0.027508,0.055251,1
Ascites,SMHB00211,None,None,None
Back Pain Without Radiation Nos,SMHB00211,None,None,None
Back Pain With Radiation,SMHB00211,None,None,None
Cold Sensation,SMHB00211,None,None,None
Cough,SMHB00211,None,None,None
Hiccups,SMHB00211,None,None,None
Gasping,SMHB00211,0.040985,0.069693,1
Bronchial Asthma,SMHB00211,None,None,None
Hand Swelling,SMHB00211,0.013847,0.040951,1
Flatulence,SMHB00211,None,None,None
Sputum,SMHB00211,None,None,None
Carbuncle,SMHB00211,None,None,None
 Cough Increased,SMHB00211,0.013847,0.040951,1
Skin Ulcer(S),SMHB00211,None,None,None
Swelling,SMHB00211,None,None,None
Ache,SMHB00211,None,None,None
Backache,SMHB00211,None,None,None
Bloating Feeling,SMHB00211,None,None,None
Asthma Attack,SMHB00211,0.013847,0.040951,1
Cough Persistent,SMHB00211,0.002692,0.013583,1
Lower Extremity Paresthesia,SMHB00211,None,None,None
King Evil,SMHB00211,None,None,None
Respiratory Distress,SMHB00211,0.027508,0.055251,1
Pleural Effusion Disorder,SMHB00211,0.013847,0.040951,1
Dyssomnia,SMHB00214,0.035175,0.063716,1
Haemorrhage Ant Chamber Eye,SMHB00214,None,None,None
Insomnia,SMHB00214,0.000173,0.001479,1
Hemorrhage,SMHB00214,None,None,None
 Physical Suffering,SMHB00214,None,None,None
Angina Symptoms,SMHB00214,0.017741,0.045849,1
Hemoptysis,SMHB00214,None,None,None
Bright Red Blood Per Rectum,SMHB00214,None,None,None
Petechia,SMHB00214,0.006097,0.025549,1
Subwakefullness Syndromes,SMHB00214,0.035175,0.063716,1
Soft Tissue Injury,SMHB00214,0.000307,0.002375,1
Hematemesis,SMHB00214,None,None,None
"Melena
",SMHB00214,0.000307,0.002375,1
Hyperalgia,SMHB00214,None,None,None
Pterygium,SMHB00214,None,None,None
Palpitation(S),SMHB00214,0.012631,0.039596,1
Tongue Disorder,SMHB00214,None,None,None
Pain,SMHB00214,None,None,None
Bronchiectasis,SMHB00214,0.000307,0.002375,1
Burning Pain,SMHB00214,None,None,None
 Long Sleeper Syndrome,SMHB00214,0.035175,0.063716,1
 Splitting Pain,SMHB00214,None,None,None
 Migratory Pain,SMHB00214,None,None,None
 Sleep-Related Neurogenic Tachypnoea,SMHB00214,0.035175,0.063716,1
Short-Sleeper,SMHB00214,0.035175,0.063716,1
Uterine Bleeding,SMHB00214,0.006097,0.025549,1
Swelling,SMHB00214,None,None,None
Ache,SMHB00214,None,None,None
Sleep Disorder,SMHB00214,0.001802,0.009861,1
Lips Bleeding,SMHB00214,0.017741,0.045849,1
Metrorrhagia,SMHB00214,None,None,None
Skin Disorder,SMHB00214,1.00E-05,0.000141,0.250161
Pain Radiating,SMHB00214,None,None,None
Crushing Pain,SMHB00214,None,None,None
Vaginal Bleeding,SMHB00214,0.017741,0.045849,1
Smarting,SMHB00214,None,None,None
Poor Quality Sleep,SMHB00214,0.017741,0.045849,1
Purpura,SMHB00214,0.00297,0.014817,1
Gastric Ulcer Bleeding,SMHB00214,0.017741,0.045849,1
Sharp Headache,SMHB00212,None,None,None
 Physical Suffering,SMHB00212,None,None,None
Presyncope,SMHB00212,None,None,None
Heaviness Of Head,SMHB00212,0.027508,0.055251,1
Catarrh,SMHB00212,None,None,None
"Headache, Periorbital",SMHB00212,None,None,None
Bilateral Headache,SMHB00212,None,None,None
Bright Red Blood Per Rectum,SMHB00212,None,None,None
Ocular Headache,SMHB00212,None,None,None
 Red,SMHB00212,0.013847,0.040951,1
Headache Throbbing,SMHB00212,None,None,None
Hyperalgia,SMHB00212,None,None,None
Radiculopathy,SMHB00212,0.013847,0.040951,1
Vidian Neuralgia,SMHB00212,0.040985,0.069693,1
Orthostatic Headache,SMHB00212,None,None,None
Nerve Root Disorder,SMHB00212,0.013847,0.040951,1
Pain,SMHB00212,None,None,None
Abortion,SMHB00212,0.013847,0.040951,1
Perineal Neuralgia,SMHB00212,0.040985,0.069693,1
Iliohypogastric Nerve Neuralgia,SMHB00212,0.040985,0.069693,1
Stump Neuralgia,SMHB00212,0.040985,0.069693,1
Burning Pain,SMHB00212,None,None,None
 Splitting Pain,SMHB00212,None,None,None
"Neuralgia, Sluder",SMHB00212,0.013847,0.040951,1
Paroxysmal Nerve Pain,SMHB00212,0.040985,0.069693,1
Measles,SMHB00212,0.027508,0.055251,1
Bronchial Asthma,SMHB00212,None,None,None
Cervical Radiculopathy,SMHB00212,0.013847,0.040951,1
Trigeminal Autonomic Cephalgia,SMHB00212,0.013847,0.040951,1
 Migratory Pain,SMHB00212,None,None,None
Nerve Root Pain,SMHB00212,0.013847,0.040951,1
Neuralgia Facial,SMHB00212,0.013847,0.040951,1
Hemorrhage Postpartum,SMHB00212,None,None,None
Skin Ulcer(S),SMHB00212,None,None,None
Coryza,SMHB00212,None,None,None
Ache,SMHB00212,None,None,None
Neuralgia,SMHB00212,0.040985,0.069693,1
Influenza,SMHB00212,0.027508,0.055251,1
Eyelid Irritation,SMHB00212,0.013847,0.040951,1
 Generalised Headache,SMHB00212,None,None,None
 Face Injury,SMHB00212,0.013847,0.040951,1
"Avulsion, Nerve Root",SMHB00212,0.013847,0.040951,1
Supraorbital Neuralgia,SMHB00212,0.040985,0.069693,1
Metrorrhagia,SMHB00212,None,None,None
Pain Radiating,SMHB00212,None,None,None
Crushing Pain,SMHB00212,None,None,None
Vertex Headache,SMHB00212,None,None,None
"Headache, Retro-Ocular",SMHB00212,None,None,None
Common Cold,SMHB00212,None,None,None
Compression Nerve Root,SMHB00212,0.013847,0.040951,1
Atypical Neuralgia,SMHB00212,0.040985,0.069693,1
"Headache, Dull",SMHB00212,None,None,None
Ilioinguinal Neuralgia,SMHB00212,0.040985,0.069693,1
Headache Unilateral,SMHB00212,None,None,None
Radiculitis,SMHB00212,0.013847,0.040951,1
Tenderness,SMHB00212,0.027508,0.055251,1
Myofacial Pain Syndrome,SMHB00212,0.013847,0.040951,1
Headache,SMHB00212,None,None,None
Abnormal Stools,SMHB00212,0.009453,0.03422,1
Nerve Pain,SMHB00212,0.040985,0.069693,1
Sharp Headache,SMHB00213,None,None,None
 Physical Suffering,SMHB00213,None,None,None
Presyncope,SMHB00213,None,None,None
Heaviness Of Head,SMHB00213,0.022379,0.050405,1
Catarrh,SMHB00213,None,None,None
"Headache, Periorbital",SMHB00213,None,None,None
Bilateral Headache,SMHB00213,None,None,None
Bright Red Blood Per Rectum,SMHB00213,None,None,None
Ocular Headache,SMHB00213,None,None,None
 Red,SMHB00213,0.011251,0.037373,1
Headache Throbbing,SMHB00213,None,None,None
Hyperalgia,SMHB00213,None,None,None
Radiculopathy,SMHB00213,0.011251,0.037373,1
Vidian Neuralgia,SMHB00213,0.033388,0.061682,1
Orthostatic Headache,SMHB00213,None,None,None
Nerve Root Disorder,SMHB00213,0.011251,0.037373,1
Pain,SMHB00213,None,None,None
Abortion,SMHB00213,0.011251,0.037373,1
Perineal Neuralgia,SMHB00213,0.033388,0.061682,1
Iliohypogastric Nerve Neuralgia,SMHB00213,0.033388,0.061682,1
Stump Neuralgia,SMHB00213,0.033388,0.061682,1
Burning Pain,SMHB00213,None,None,None
 Splitting Pain,SMHB00213,None,None,None
"Neuralgia, Sluder",SMHB00213,0.011251,0.037373,1
Paroxysmal Nerve Pain,SMHB00213,0.033388,0.061682,1
Measles,SMHB00213,0.022379,0.050405,1
Cervical Radiculopathy,SMHB00213,0.011251,0.037373,1
Trigeminal Autonomic Cephalgia,SMHB00213,0.011251,0.037373,1
 Migratory Pain,SMHB00213,None,None,None
Nerve Root Pain,SMHB00213,0.011251,0.037373,1
Neuralgia Facial,SMHB00213,0.011251,0.037373,1
Hemorrhage Postpartum,SMHB00213,None,None,None
Skin Ulcer(S),SMHB00213,None,None,None
Coryza,SMHB00213,None,None,None
Ache,SMHB00213,None,None,None
Neuralgia,SMHB00213,0.033388,0.061682,1
 Generalised Headache,SMHB00213,None,None,None
 Face Injury,SMHB00213,0.011251,0.037373,1
"Avulsion, Nerve Root",SMHB00213,0.011251,0.037373,1
Supraorbital Neuralgia,SMHB00213,0.033388,0.061682,1
Metrorrhagia,SMHB00213,None,None,None
Pain Radiating,SMHB00213,None,None,None
Crushing Pain,SMHB00213,None,None,None
Vertex Headache,SMHB00213,None,None,None
"Headache, Retro-Ocular",SMHB00213,None,None,None
Common Cold,SMHB00213,None,None,None
Compression Nerve Root,SMHB00213,0.011251,0.037373,1
Atypical Neuralgia,SMHB00213,0.033388,0.061682,1
"Headache, Dull",SMHB00213,None,None,None
Ilioinguinal Neuralgia,SMHB00213,0.033388,0.061682,1
Headache Unilateral,SMHB00213,None,None,None
Radiculitis,SMHB00213,0.011251,0.037373,1
Tenderness,SMHB00213,0.022379,0.050405,1
Myofacial Pain Syndrome,SMHB00213,0.011251,0.037373,1
Headache,SMHB00213,None,None,None
Nerve Pain,SMHB00213,0.033388,0.061682,1
Presyncope,SMHB00616,0.046681,0.076544,1
Bright Red Blood Per Rectum,SMHB00616,0.018916,0.04715,1
"Melena
",SMHB00616,2.10E-05,0.000259,0.510787
Uterine Bleeding,SMHB00616,3.00E-06,4.60E-05,0.068961
Hemorrhage Postpartum,SMHB00616,2.20E-05,0.000277,0.554767
Hemorrhoid Bleeding,SMHB00616,0.014218,0.041556,1
Metrorrhagia,SMHB00616,4.00E-06,6.80E-05,0.11005
Menorrhagia,SMHB00616,0.000427,0.00309,1
Menometrorrhagia,SMHB00616,0.000427,0.00309,1
Presyncope,SMHB00615,0.046681,0.076544,1
Bright Red Blood Per Rectum,SMHB00615,0.018916,0.04715,1
"Melena
",SMHB00615,2.10E-05,0.000259,0.510787
Uterine Bleeding,SMHB00615,3.00E-06,4.60E-05,0.068961
Hemorrhage Postpartum,SMHB00615,2.20E-05,0.000277,0.554767
Hemorrhoid Bleeding,SMHB00615,0.014218,0.041556,1
Metrorrhagia,SMHB00615,4.00E-06,6.80E-05,0.11005
Menorrhagia,SMHB00615,0.000427,0.00309,1
Menometrorrhagia,SMHB00615,0.000427,0.00309,1
Mania,SMHB00610,0.040924,0.069693,1
Irritability,SMHB00610,0.000308,0.00238,1
Behavior Disorder,SMHB00610,0.020667,0.048222,1
Seizures,SMHB00610,0,0,4.00E-05
Boredom,SMHB00610,0.030846,0.058607,1
Gasping,SMHB00610,0.030846,0.058607,1
Convulsions Neonatal,SMHB00610,0.030846,0.058607,1
Mental Disorder,SMHB00610,0.020667,0.048222,1
Habit Disorder,SMHB00610,4.00E-06,6.10E-05,0.097022
Vocal Tic,SMHB00610,4.00E-06,6.10E-05,0.097022
Motor Tics,SMHB00610,4.00E-06,6.10E-05,0.097022
Diagnosis Psychiatric,SMHB00610,0.010385,0.03576,1
Chest Symptom Heaviness,SMHB00610,3.90E-05,0.000433,0.963115
Chest Symptom Heaviness,SMHB00610,3.90E-05,0.000433,0.963115
Pharyngolaryngitis,SMHB00673,0.023235,0.051423,1
Larynx,SMHB00673,0.001287,0.007435,1
Laryngopharyngeal Dysaesthesia,SMHB00673,2.80E-05,0.000332,0.689495
Localized; Swelling,SMHB00673,0.001916,0.010349,1
Laryngeal Pain,SMHB00673,0.011683,0.038067,1
Hemoptysis,SMHB00673,0.003526,0.016872,1
Laryngeal Edema,SMHB00673,0.011683,0.038067,1
Caustic Injury,SMHB00673,0.034657,0.062952,1
Smarting Of Skin,SMHB00673,0.011683,0.038067,1
Hematoma,SMHB00673,0.023235,0.051423,1
Skin Pain,SMHB00673,0.011683,0.038067,1
Skin Swelling,SMHB00673,0.023235,0.051423,1
Ache,SMHB00673,0.028601,0.056313,1
Pharynx Disease,SMHB00673,0.023235,0.051423,1
Tonsillitis,SMHB00673,0.023235,0.051423,1
Throat Tightness,SMHB00673,1.00E-06,1.00E-05,0.01254
Pharyngolaryngeal Pain,SMHB00673,1.00E-06,1.00E-05,0.01254
Edema Pharynx,SMHB00673,0.000392,0.002868,1
Pharyngolaryngitis,SMHB00203,0.036875,0.065606,1
Skin Decubitus Ulcer(S),SMHB00203,None,None,None
Larynx,SMHB00203,0.003264,0.015901,1
Right Flank Pain,SMHB00203,None,None,None
Laryngopharyngeal Dysaesthesia,SMHB00203,0.000116,0.001063,1
Tongue Ulcer,SMHB00203,0.036875,0.065606,1
Abdominal Tenderness,SMHB00203,0.018607,0.046865,1
Localized; Swelling,SMHB00203,0.004839,0.02177,1
 Physical Suffering,SMHB00203,0.003403,0.016389,1
Laryngeal Pain,SMHB00203,0.018607,0.046865,1
Vertebrogenic Pain Syndrome,SMHB00203,None,None,None
Flank Pain,SMHB00203,None,None,None
Laryngeal Edema,SMHB00203,0.018607,0.046865,1
Abdominal Pain,SMHB00203,None,None,None
Smarting Of Skin,SMHB00203,0.018607,0.046865,1
Hematoma,SMHB00203,0.036875,0.065606,1
Eye Disorder,SMHB00203,None,None,None
Skin Pain,SMHB00203,0.018607,0.046865,1
Jaundice,SMHB00203,None,None,None
Pain,SMHB00203,0.005488,0.023908,1
Back Pain Without Radiation Nos,SMHB00203,None,None,None
Back Pain With Radiation,SMHB00203,None,None,None
Burning Pain,SMHB00203,0.003403,0.016389,1
 Splitting Pain,SMHB00203,0.003403,0.016389,1
Skin Swelling,SMHB00203,0.036875,0.065606,1
Abdominal Cramp,SMHB00203,0.036875,0.065606,1
Hair Dryness,SMHB00203,None,None,None
Ocular Discomfort,SMHB00203,None,None,None
Diarrhea Acute,SMHB00203,0.018607,0.046865,1
 Migratory Pain,SMHB00203,0.003403,0.016389,1
Diarrhea Watery,SMHB00203,0.018607,0.046865,1
Ache,SMHB00203,0.000712,0.004637,1
Backache,SMHB00203,None,None,None
Scald,SMHB00203,None,None,None
Pharynx Disease,SMHB00203,0.036875,0.065606,1
Tonsillitis,SMHB00203,0.036875,0.065606,1
Throat Tightness,SMHB00203,3.00E-06,5.60E-05,0.086712
Left Flank Pain,SMHB00203,None,None,None
Pain Radiating,SMHB00203,0.003403,0.016389,1
Crushing Pain,SMHB00203,0.003403,0.016389,1
Pharyngolaryngeal Pain,SMHB00203,3.00E-06,5.60E-05,0.086712
Edema Pharynx,SMHB00203,0.001003,0.006114,1
General Abdominal Pain-Symptom,SMHB00203,0.018607,0.046865,1
Chilliness,SMHB00203,None,None,None
Stomatitis,SMHB00607,0.019472,0.04715,1
Oral Mucositis,SMHB00607,0.019472,0.04715,1
"Melena
",SMHB00607,0.000371,0.002762,1
Dyspnea,SMHB00607,0.038573,0.067295,1
Jaundice,SMHB00607,0.000361,0.002709,1
Cough,SMHB00607,0.000353,0.002663,1
Bronchiectasis,SMHB00607,0.000371,0.002762,1
Bronchial Asthma,SMHB00607,0.033148,0.061522,1
Uterine Bleeding,SMHB00607,4.00E-06,6.50E-05,0.104469
Hemorrhage Postpartum,SMHB00607,0.025238,0.053416,1
Lips Bleeding,SMHB00607,0.019472,0.04715,1
Metrorrhagia,SMHB00607,0.000361,0.002709,1
Vaginal Bleeding,SMHB00607,0.019472,0.04715,1
Asthma Attack,SMHB00607,0.019472,0.04715,1
Menorrhagia,SMHB00607,0.007318,0.029106,1
Menometrorrhagia,SMHB00607,0.007318,0.029106,1
Cough Persistent,SMHB00607,0.005293,0.023103,1
Gastric Ulcer Bleeding,SMHB00607,0.019472,0.04715,1
Oral Ulcer,SMHB00607,0.002171,0.01147,1
Sutton'S Disease,SMHB00607,0.019472,0.04715,1
Respiratory Distress,SMHB00607,0.038573,0.067295,1
Right Flank Pain,SMHB00205,None,None,None
 Physical Suffering,SMHB00205,None,None,None
Mechanical Low Back Pain,SMHB00205,None,None,None
Flank Pain,SMHB00205,None,None,None
Anasarca,SMHB00205,None,None,None
 Recurrent Low Back Pain,SMHB00205,None,None,None
Dysuria,SMHB00205,0.000274,0.002165,1
Edema,SMHB00205,None,None,None
Hyperalgia,SMHB00205,None,None,None
Bite Wound Insect,SMHB00205,0.015578,0.043506,1
Dermatosis Of Scalp,SMHB00205,0.030919,0.058607,1
Urinary Tract Stone,SMHB00205,None,None,None
Urolithiasis,SMHB00205,0.015578,0.043506,1
Jaundice,SMHB00205,None,None,None
Pain,SMHB00205,None,None,None
Micturition Disorder,SMHB00205,None,None,None
Burning Pain,SMHB00205,None,None,None
 Splitting Pain,SMHB00205,None,None,None
